Nom anglais;Nom francais;Lien Alucare;Lien Mister Tix;Lien Inteleria;Faction
Lord Champfort;Lord champfort;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-lord-champfort-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/lord-champfort-2/;https://www.inteleria.com/champion-list/lord-champfort/;BANNER_LORDS
Sethallia;Sethallia;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-sethallia-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/setthallia/;https://www.inteleria.com/champion-list/sethallia/;BANNER_LORDS
Black Knight;Chevalier noir;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-chevalier-noir-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/chevalier-noir/;https://www.inteleria.com/champion-list/black-knight/;BANNER_LORDS
Lugan the Steadfast;Lugan l Inebranlable ;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-lugan-linebranlable-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/lugan-linebranlable/;https://www.inteleria.com/champion-list/lugan-the-steadfast/;BANNER_LORDS
Septimus;Septimus;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-septimus-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/septimus/;https://www.inteleria.com/champion-list/septimus/;BANNER_LORDS
Richtoff The Bold;Richtoff l effronte;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-richtoff-leffronte-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/richtoff-leffronte/;https://www.inteleria.com/champion-list/richtoff-the-bold/;BANNER_LORDS
Raglin;Raglin;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-raglin-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/raglin/;https://www.inteleria.com/champion-list/raglin/;BANNER_LORDS
Baron;Baron;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-baron-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/baron/;https://www.inteleria.com/champion-list/baron/;BANNER_LORDS
Minaya;Minaya;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-minaya-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/minaya/;https://www.inteleria.com/champion-list/minaya/;BANNER_LORDS
Cillian the Lucky;Cillian le Chanceux;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-cillian-le-chanceux-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/cillian-le-chanceux/;https://www.inteleria.com/champion-list/cillian-the-lucky/;BANNER_LORDS
Hordin;Hordin;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-hordin-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/hordin/;https://www.inteleria.com/champion-list/hordin/;BANNER_LORDS
Oathbound;Lie par serment;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-lie-par-serment-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/lie-par-serment/;https://www.inteleria.com/champion-list/oathbound/;BANNER_LORDS
Seneschal;Senechal;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-senechal-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/senechal/;https://www.inteleria.com/champion-list/seneschal/;BANNER_LORDS
Knight Errant;Chevalier Errant;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-chevalier-errant-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/chevalier-errant/;https://www.inteleria.com/champion-list/knight-errant/;BANNER_LORDS
Rowan;Rowan;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-rowan-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/rowan/;https://www.inteleria.com/champion-list/rowan/;BANNER_LORDS
Azure;Azur;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-azur-azure-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/azur/;https://www.inteleria.com/champion-list/azure/;BANNER_LORDS
Warcaster;Lance guerre;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-lance-guerre-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/lance-guerre/;https://www.inteleria.com/champion-list/warcaster/;BANNER_LORDS
Stag Knight;Chevalier Cerf;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-chevalier-cerf-stag-knigh-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/chevalier-cerf/;https://www.inteleria.com/champion-list/stag-knight/;BANNER_LORDS
Lordly Legionary;Noble Legionnaire;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-noble-legionnaire-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/noble-legionnaire/;https://www.inteleria.com/champion-list/lordly-legionary/;BANNER_LORDS
Masked Fearmonger;epouvanteur Masque;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-epouvanteur-masque-artefact-et-maitrise/ ;https://mistertix.fr/liste-hero/epouvanteur-masque/;https://www.inteleria.com/champion-list/masked-fearmonger/;BANNER_LORDS
Archmage Hellmut;Archimage Hellmut;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-archimage-hellmut-artefact-et-maitrise/;;https://www.inteleria.com/champion-list/archmage-hellmut/;BANNER_LORDS
Alaric l Encagoule;Alaric l Encagoule;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-alaric-lencagoule-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/alaric-the-hooded/;BANNER_LORDS
Gerhard the stone;Gerhard la Pierre;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-gerhard-la-pierre-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/gerhard-the-stone/;BANNER_LORDS
Chancellor Yasmin;Chanceliere Jasmine;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-chanceliere-jasmine-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/chancellor-yasmin/;BANNER_LORDS
Ursala the Mourner;Ursala la Pleureuse;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-ursala-la-pleureuse-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/ursala-the-mourner/;BANNER_LORDS
Crossbowman;Arbaletrier;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-arbaletrier-crossbowman-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/crossbowman/;BANNER_LORDS
Valerie;Valerie;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-valerie-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/valerie/;BANNER_LORDS
Grandmaster;Grand maitre;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-grand-maitre-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/grandmaster/;BANNER_LORDS
Preserver;Preservatrice;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-preservatrice-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/preserver/;BANNER_LORDS
Courtier;Courtisan;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-courtisan-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/courtier/;BANNER_LORDS
Bombardier;Bombardier;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-bombardier-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/bombardier/;BANNER_LORDS
Cataphract;Cataphractaire;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-cataphractaire-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/cataphract/;BANNER_LORDS
Conquerer;Conquerant;https://www.alucare.fr/wiki/guide-raid-shadow-legend/guide-sur-conquerant-conquerer-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/conquerer/;BANNER_LORDS
Halberdier;Hallebardier;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-hallebardier-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/halberdier/;BANNER_LORDS
Chevalier;Chevalier;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-chevalier-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/chevalier/;BANNER_LORDS
Vanguard;Avant garde;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-avant-garde-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/vanguard/;BANNER_LORDS
Steadfast Marshall;Prevot inebranlable;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-prevot-inebranlable-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/steadfast-marshal/;BANNER_LORDS
Myrmidon;Myrmidon;https://www.alucare.fr/wiki/guide-raid-shadow-legend/champion/guide-sur-myrmidon-artefact-et-maitrise/ ;;https://www.inteleria.com/champion-list/myrmidon/;BANNER_LORDS
